Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
9/5/1991,14,16,14,16,0,0,0,0,,,2,2
9/4/1991,13,15,13,15,0,0,0,0,,,2,2
9/3/1991,14,15,14,15,0,0,0,0,,,1,1
8/30/1991,13.5,13.5,13.5,13.5,0,0,0,0,,,0,0
8/28/1991,14,16,14,16,0,0,0,0,,,2,2
8/26/1991,15,15,15,15,0,0,0,0,,,0,0
8/23/1991,15,17,15,17,0,0,0,0,,,2,2
8/22/1991,14,16,14,16,0,0,0,0,,,2,2
8/21/1991,15,15,15,15,0,0,0,0,,,0,0
8/20/1991,14,16,14,16,0,0,0,0,,,2,2
8/19/1991,15,16,14,16,0,0,0,0,,,2,1
8/16/1991,15,17,15,17,0,0,0,0,,,2,2
8/14/1991,14,16,14,16,0,0,0,0,,,2,2
8/13/1991,15,17,15,17,0,0,0,0,,,2,2
8/12/1991,15,17,15,17,0,0,0,0,,,2,2
8/9/1991,15,16.25,15,16.25,0,0,0,0,,,1.25,1.25
8/8/1991,14.5,15.5,14.5,15.5,0,0,0,0,,,1,1
8/7/1991,14,16,14,16,0,0,0,0,,,2,2
8/5/1991,15,17,15,17,0,0,0,0,,,2,2
8/2/1991,14,16,14,16,0,0,0,0,,,2,2
8/1/1991,16,17,16,17,0,0,0,0,,,1,1
7/31/1991,15,17,15,17,0,0,0,0,,,2,2
7/30/1991,15,17,15,17,0,0,0,0,,,2,2
7/29/1991,14,16,14,16,0,0,0,0,,,2,2
7/26/1991,14,16,14,16,0,0,0,0,,,2,2
7/25/1991,14,15,14,15,0,0,0,0,,,1,1
7/24/1991,13.5,15,13.5,15,0,0,0,0,,,1.5,1.5
7/22/1991,14,15,14,15,0,0,0,0,,,1,1
7/19/1991,14,15,14,15,0,0,0,0,,,1,1
7/17/1991,14,15,14,15,0,0,0,0,,,1,1
7/16/1991,14,16,14,16,0,0,0,0,,,2,2
7/15/1991,13,15,13,15,0,0,0,0,,,2,2
7/12/1991,14,15,14,15,0,0,0,0,,,1,1
7/11/1991,14,15,14,15,0,0,0,0,,,1,1
7/10/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
7/9/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
7/8/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
7/5/1991,15,16,15,16,0,0,0,0,,,1,1
7/4/1991,14,15,14,15,0,0,0,0,,,1,1
7/3/1991,14,16,14,16,0,0,0,0,,,2,2
7/2/1991,15,16,15,16,0,0,0,0,,,1,1
6/28/1991,15,17,15,17,0,0,0,0,,,2,2
6/27/1991,15,16,15,16,0,0,0,0,,,1,1
6/26/1991,15,17,15,17,0,0,0,0,,,2,2
6/25/1991,15,15,15,15,0,0,0,0,,,0,0
6/24/1991,15,17,15,17,0,0,0,0,,,2,2
6/20/1991,16,18,16,18,0,0,0,0,,,2,2
6/19/1991,16,18,16,18,0,0,0,0,,,2,2
6/18/1991,16,18,16,17,0,0,0,0,,,2,1
6/17/1991,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
6/13/1991,15,17,15,17,0,0,0,0,,,2,2
6/12/1991,15,20,15,20,0,0,0,0,,,5,5
6/11/1991,15,17,15,17,0,0,0,0,,,2,2
6/7/1991,16,17.5,15,17.5,0,0,0,0,,,2.5,1.5
6/6/1991,16,18,16,18,0,0,0,0,,,2,2
6/5/1991,18,19,18,19,0,0,0,0,,,1,1
6/4/1991,18,19,17.5,19,0,0,0,0,,,1.5,1
6/3/1991,18,19,18,19,0,0,0,0,,,1,1
5/31/1991,17.5,20,17.5,20,0,0,0,0,,,2.5,2.5
5/30/1991,17.5,20,17.5,20,0,0,0,0,,,2.5,2.5
5/29/1991,18.75,18.75,18.75,18.75,0,0,0,0,,,0,0
5/27/1991,17,19.75,17,19,0,0,0,0,,,2.75,2
5/23/1991,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
5/21/1991,15,17,15,17,0,0,0,0,,,2,2
5/20/1991,15,15,15,15,0,0,0,0,,,0,0
5/17/1991,14,15,14,15,0,0,0,0,,,1,1
5/16/1991,11,12.5,11,12.5,0,0,0,0,,,1.5,1.5
5/14/1991,11,13,11,13,0,0,0,0,,,2,2
5/13/1991,10,13,10,13,0,0,0,0,,,3,3
5/10/1991,10,12,10,12,0,0,0,0,,,2,2
5/9/1991,10,12,10,12,0,0,0,0,,,2,2
5/8/1991,10,11,10,11,0,0,0,0,,,1,1
5/7/1991,10,11.5,10,11.5,0,0,0,0,,,1.5,1.5
5/6/1991,10,12,10,12,0,0,0,0,,,2,2
5/3/1991,10,12,10,12,0,0,0,0,,,2,2
4/30/1991,11,12,11,12,0,0,0,0,,,1,1
4/29/1991,12,13,11.5,13,0,0,0,0,,,1.5,1
4/26/1991,11.25,13.75,11.25,13.75,0,0,0,0,,,2.5,2.5
4/25/1991,11.25,13.75,11.25,13.75,0,0,0,0,,,2.5,2.5
4/24/1991,11.25,13.75,11.25,13.75,0,0,0,0,,,2.5,2.5
4/23/1991,11.25,13.75,11.25,13.75,0,0,0,0,,,2.5,2.5
4/22/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
4/19/1991,11.25,13.75,11.25,13.75,0,0,0,0,,,2.5,2.5
4/18/1991,11.25,13.75,11.25,13.75,0,0,0,0,,,2.5,2.5
4/16/1991,11.25,13.75,11.25,13,0,0,0,0,,,2.5,1.75
4/15/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
4/12/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
4/11/1991,13,15,13,15,0,0,0,0,,,2,2
4/9/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
4/8/1991,13,13,13,13,0,0,0,0,,,0,0
4/5/1991,13,15,13,15,0,0,0,0,,,2,2
4/4/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
4/3/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
4/2/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
4/1/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
3/27/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
3/26/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
3/25/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
3/22/1991,13,15,13,15,0,0,0,0,,,2,2
3/21/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
3/20/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
3/18/1991,13,15,13,15,0,0,0,0,,,2,2
3/15/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
3/13/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
3/12/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
3/11/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
3/8/1991,13,15,13,15,0,0,0,0,,,2,2
3/7/1991,12.5,15,12.5,15,0,0,0,0,,,2.5,2.5
